address,txid,vin,r,s,z
bc1qsecure0155,1db01f471b79811ec2fa67177d1770f16d26f9a276054d366a290dd7c537c451,0,0x14f950acd79c7834389c3128620b38f84aed1bc0daff1378bf9dca66535c259a,0xe58ce7d8f25357c64ef12f38d35f6e62f65ff1df34973cea4889c9945dee714c,0x4c90beb4eccf2d3c4de1843d2e2517baf31671ce03b081f5668834065335eb05
bc1qsecure0170,06c83e471eefbe05edfe459f3287b71168344c5ffe6e5528d17060026e31e8be,1,0x9a7d7818463cb8daf2d32f84dc4c9a2148dd510b836502e4122c112995aa8076,0xd72328e84111ce441eb2a9855e562730bf2440565e7308e4adca1309a21e4fe6,0x6baba21339d64a769726940d044d43458f2f30cd29266234090444886a788ef7
bc1qsecure0055,bba98e27d90fc3dbffcf718febbb26a93723e2b9ef1393dbf7602eb15ee046ea,4,0xf79801e15a387bd223cbbe966c018e24d673f2a247d6f219b1e11e51b0383fe5,0x66b05455a8334dcf40735f15f319e0c3300c4d2f27da8bc9a1be71f360467d7b,0x98910be15d60ae27b946faf1beb8fd8e3a135556c5bc1e664525de8a8c4abbca
bc1qsecure0140,b92bbc422c6a6d0555971d20aa12b4fb105ad198bfd28caeb3b1a33f020e75cb,4,0x3d0f9385b2969732d1504cd5dbce3c33238bfddfe15c2c3531d519de0d4b974d,0x73df68dfb7e2d44afb6895b0e689aebdc76be28f64ec809c5631a8f0a9bec63b,0xb7566ffea941b48a84b6952a885b17c529f6af01ca9d10321b2c5ca59ceb5a85
bc1qsecure0124,e2f866bbbf30a5d3e20bbdb917c485f7eff97180154cac9cedb0203c296294d8,2,0xabbf276038ff1f5df82de5035a50a407b2802b4654cd12556ce7ced64204f97c,0x94bc35d972f5a168d68f6b8444a5cbe1d3d718f6cb97cc21597ecb61bebf1968,0x56055250b056493e7b5192f2b8938d06b362b3c96ea0693baf62d353f21c95ab
bc1qsecure0166,6f43704444982f2107f48fe48031f1b7067ce21228746c2637175c78d7cf012f,4,0x692df87158f2330503d90a44be1f0b0dc964e6353bc178c2a51b4e8ad16c978,0x7d8bf01c96ddf90374f3f6689adc050d1fc0456b3fd2c603d57a7a3c9afe627b,0x6795ae7569e173e0383dcf7c15a50777a03570bd69501a74c3d9c5817a38897e
bc1qsecure0054,628b36eb16029407c3e66f11895074a5eefd8d8eb2924045972be3c19e480fe5,0,0x17b74788063d692655ea493e58c6e32eae305d94104b5648f939d4d43af02439,0xc7ec841c55de73441fe52aaa8586284947e7e9a6bf2b093e6dfec2b2433207cb,0x87ecb3bf8e84a885b8f7de87c9f8a81cf9295321b0eccf4f22c11219cfbe7de6
bc1qsecure0184,4acc9761a3d0744fd67103ab16be5ff4ad72a11d79d4fac816e20b4a8dec5a60,3,0x37ed46ad0c3519fe4f1198c9ed5d9623b8d799a8eb1880222d17aa503afc3868,0x27a6dfe0e325ad30fe8d3c66e659f17b194d7f7cda14ca88a27e77d0a1a64d59,0xb24536baacb5a48502665825e171fc7a27b2719f96518b16ec18ad2c0c34294
bc1qsecure0026,5f972e57d9e144ab64d54ced48e5d5715620dcaf3e0cfa3cb435285a4ffe6855,3,0x4ab4e4bb8044335ed41bc18fe7bdde5e277f17e64571e41c9f532c57606980d0,0xaffc8243fec9fb52f280881984b86117f362cb522aeeb20133068e16f2d60b1e,0xec5c02ea7f0e7e6e041ea7ea993f79b8de89a7fa1e5b4c4de0ee1100539a5d6e
bc1qsecure0064,65ab4b6431f115f13a61d1cf24f079d59b8231317e942041189edcffa0110cd8,3,0x6ab8fcd0256739b3137ba7c511dd0e9bb6db79048088ab1f02453e9c3f0703a4,0x76df52301f4f77fe5a67745ef8b89acf657e3cac8a21c7c7cc1e723117218942,0x29e875255e45f123163b4266e5e932e649f138c5209abe7d1bff46684787e85e
bc1qsecure0162,5049f20a104e674769e44f572a5583f72315935092eeddb0d2ec3fc3b1768eb2,4,0xd4405cd18c0901582b14598e72195705d46a1d696378e9df9de56160bdc10c1c,0x863f6c6f8af85d0f1e9e526cd2dd27fe43474cda78b3cef64558d940b45e0d52,0x12976e193edad1c596dbf24d551eb8c4a65a69ccf404c18ab87e49415fd9c33d
bc1qsecure0122,f936d38ba805bada08e3a21293b9c7e68d697ecd2e97627f0c2a9155acb9fe02,0,0x4a26115a6356aba4c7e1c5d3637f0c22359b3850e1726b61979c9d488675f0b9,0x755d569289077d416ecd52b0413ade4c73583e4278dd4554d4014140c9a86ef0,0xb2cd50e9670d4d9106572bd4754d849600bf4dafb5da8894c18d0946d8a6aa75
bc1qsecure0150,fd88232e568479e4a7d10af9ff36d9926b8ed912251291aabbc31c8416955f58,4,0xe55518ad6f20945042b85eeba18d8d8f01e0df47df3aca8ddd534eccca8c9a4b,0xe3bdc9c0373806a86068575a846dce662509b2aa6e931d306d7a28a81f540b80,0xed31302b80c949758e39dea8c6ff06bd0749f12cf9c49ee84367617760e6e793
bc1qsecure0187,5b5df3ef1c36f12f7bc8083afb5de0da86e0312bf915624b931560c0cb66aa3b,2,0xea97be2066008ad08783f70a2f06810f2358efb9660ef65d97afeb596cbf30b4,0xa39209513cfef3ba5832823992c2110adf16afe819e8131c9ecf207a1f924a13,0xd11b052ae400e53787e5482362a9e1a9a4f39b7876232a464122abd8bb10ecd2
bc1qsecure0124,2e2b14d8c254bdd0d428d036a597ef01d2003af18483de00ec9efda35131f38f,4,0x289a7a451ef9e55597747b14c5d4419a4986a2bc9946db0173888975bd44ec42,0xc967c79e0d4995c6034142db5752483a6b5d0d76bc7ae17e8780d4392fe9ea7c,0x9f09a55c1d585c57988c72512480d95c334a6614b8f779592f4931c3d948df78
bc1qsecure0170,033d11661a0a9f8147701dce607a79c55e987f308b90b841de4c68e6e44f802c,3,0xd00f15191704641cfbdd3b1e0bb9f04e84daa9c53c31222f5e63fbe01c5fb04d,0xe55b5c26b1a62db6575be6a1fc3204adf172710ecc69abc07078fb74138325bf,0xbd8a6127639c8c8b3558bd35a79408f7e2b0540ddbf14b1f976952165b3b402f
bc1qsecure0129,47c22b7373594f2bbf74b65211b4805fa994ead81d43c09caf0da4f59df6e992,4,0xd14716686e5dcfe9cbf1fb9714cb8019023fd45fd5653821753657fdce5b581f,0x3d6bf8e6b405fc0ac1be2e80cfc2edb75ea34b9365d989daad0623246687434f,0x89e02fc6641161f7ef9b825563bc6b3f8ec543d7d64850dad554044044f7207f
bc1qsecure0176,94e26c4a3b966e8119cba1c6a139df122353981cb963cceda82591b25a826db7,4,0x4cee09f2cd548a05fd9c3605065a3fcfcf31d8c92daa63dc62aa568ccc2b93c4,0xf62ff80c0d42941aeb145f1df8d6878676bf646ba84443fd2b4e17e1ae25b210,0x3a12289e125206757b8323bdfdf7ff45feeae76ca15aa38db79d440580f94d7f
bc1qsecure0028,14eae4c1d100cb3e125eb710d8a257446b3e98c4b30abdae546c293f632e8e01,2,0xbec21882b4ec0bfa44462fc2e2bc589d78c2804a460810c61785482813c652d6,0x5c682bda32495bf90fb11b031e53289a4f9dea739c0a0a11fe13ea3f69830e8,0x94b361d73238486c8e8b1eeddd618c332c658f0e0fd46e081fc7183c105f2757
bc1qsecure0195,9d90a5a112be966f51b22ad0cf85e3b87cf3b5eab7947b83449ee53f499b1ec2,3,0x24e899d67dd467f33a7426114e2480a52e9b2d0d6d9f38a7dbfb83a998ae4d46,0xc4b0294d5189d2afa2a8cab7f050329c334c8ae6e51c342f09a6b35f0e864647,0xe7408fa81f4ce25e4da7fa543114b41470fd5cebb09d1c09ad0e1c466c969a7f
bc1qsecure0056,70f2bdb66c244b08bf0a8dab5ce4abdc497ba6e8563232b609535aea562bbce2,1,0x5a5a6cb7fc67663afd485de53816d60d13557a4ef6009d93eb07bf2764c7b3f7,0x604d8e62f622543916bda4ad1e1dfd090326f6a82489bf036ef20e5e0ea59527,0x2724eacc0b188328a2f226ff5ab8f83becc621ab61c919f81d1820b7ad49ed90
bc1qsecure0110,8b84f6145a8420d6bb677851b93c1f6be72c3e4ca2c4c85954a0d7132e6a3bdb,2,0x7de6d78575f224297d64041fcda33a4f2c91ac1911b98b8fc6bf89ed36d5dbc1,0x10e796bd959b32d9a884671152b4c45f52dbf4ec8bff57b51c7b60074a3c827c,0x6ea42430225c7322f11568f1993fada5deb3c106330df94022d9d6e55da06cf7
bc1qsecure0170,d9f0e902c8d204670052dfd9112a8191b15ac95316cb136ba79335a95a1404f6,0,0xb34ecc0786be4a9c7aff4d49b5af8c9089e3c05b54dbe12012b28b642b3400f9,0xadcd9ffeb67bc98243cdad9aec2356c11617f96d9b57a93b7f940f7f35f94084,0x400899690516e85e6658fa553fccbc83800423d1f852635547deb9e5247c2870
bc1qsecure0168,b14d55b714f84ef296fc58308749097dfae22ecf9f367d20ffaeaf53690a810f,0,0x90a898f41f216420b3445d9625d9a4c45d9beba085c199d935893f0c04b6c945,0x5eb19f8b0b597aa52cf83b41496589d0f84e5db2b25c98d134dd24078387ed71,0xf5cb0cb6f479649fdeb26156ade1e5c016231e43f6799a81d897f8ff943234d1
bc1qsecure0040,60cbe1378711296fb2c65ac71ffb73e978ca75371498cf9834636b61385c565a,4,0xf9a7df7c080bb3c36cc91546e85704246d5cc341f633d94131a1753f0db5a8f1,0x28c57cc39d2bee5735819d0096fae004a921b01fab10aee80bfd3d218c7ca0e6,0x9b11dade42d48dc30d5e65466749e8012ba24866a02ad58b445e0cee899e2b8
bc1qsecure0100,dff4b6ddf576c846f79e37749660078a91621e5d6611b1ee37fe201ba5519e40,2,0x648060cb8336adb5f74d4f165c99de9b198c5636ae021204712df4b339ff3a3a,0xc3d1534a64d67a0efe455d35269f30506f76e12b0a61a5cb537ba23bfb274b87,0xb7df4b34fd9e23c8293c9d6936ff29bce4937cee9646d2a745ec568f772ffc59
bc1qsecure0150,b53a42956fc141f51e1e6eda7e2b8fa03c95ca631f3d32b0d914aa4359120768,1,0x70a6af190ec6f6a85924d09aed58c9804661c19f8bc1efa2b6cf84463c4175a5,0x447d6b3ed52875166544d80dddc0e8128fd1f70f6e73c5cd63634339ca9942a4,0x53ba171feaac18ab77c30ee0d48c2c7d720cd4ed4eb054d52a9f935128575d9c
bc1qsecure0106,6c96ac3e6e60354963bd79eab46f0100ed6fae6f27840f166aaa43344ae78d0a,2,0x7b5b3cdc3f0e0ae57ffafb810073ba6b15cafd3916898425e1ee41a6c5bf97e,0xe944ccbc3c151cacc7554485515d9406083318898dfeb3e13299c056610d2ad4,0x29fec95712868f6c2c3cbbb56efa7a07e44bd6b51b1b0167e2c4e43e4d7ab891
bc1qsecure0087,101e1e056ff4d1fe8bf77a9ebd9642eba62e44f73260e17da718e195a0fac619,0,0xc089fdbcf17b25b6bf19f7c3289db0db5c1eb574715e4d04366ed5c35b10387,0x36bdf7d041cc21b054b89190a23b6af02c004056f6de4f58f31ec71e95992a9a,0xe8416a617f02d727e0c1d6992ed2e4365bb49937e010f0f5ad65075418f1071f
bc1qsecure0053,554997a9208aa27947c98005ff9d8fec22fed43b8b2aa2533752ba2a0d5e7954,0,0xcc185ded11bd697a7b36f63c9706087f9d069ae39d86cce43ca0f3adb5c1f060,0xbe3a04cc1a0300cdcfaa24967bcac0c965c72629b0e9045821cfce20bb0d4040,0xbd56cfc02a09baf2374b53bdd6c155446a66ce9b782bc7680561f307b2da395d
bc1qsecure0035,08381d401f20fd7f40ed7109e453ced6eedfa6f3bdaebf7d16eb230dfad5c867,3,0x878c365c6e7f51426b40c7a076924ea083deee71f3bfbbf2b1fed271f9381fb1,0x94510490fc331de6100185802d544b9a01ea32635d501e86579139e3c2264d3,0x2bc6f6b01001f2063608b6225df976eb310747ca49d6c062b3a339124fdcdaf9
bc1qsecure0004,d8733f62102ec9065f88e7d9dfa618e7158b470c2f4922aa42fe668d160a0c92,4,0x531dc77389ef3ef1f927270b5f11e339f8d5bcf4d8523cb91c7d769e2dd5a0b3,0xe9062f4f9d120511dfd3907eb54a404008c1cf61bd7061753199dabbf90d95f,0xd1e03450cbe5e4d91d9db854864afd1b02e2cacbe4395594f651fa790f5e05b8
bc1qsecure0167,05b279d5830e9a433582458134b6dc785f0290e4c053b12a11072851ce881691,4,0x103e031b0634acec148ff7a5b5802008756c181fa0478b5f394697a4a5f117b4,0x3814914e411e33c70f5352a297352efe74cff66943675f2a584d68aae49e3bcc,0x54fc67a5527ba0c3359b7e0c925ca81d3ef58509fc32bf63c887a50b1b5d007b
bc1qsecure0180,859245d99b800da82e2185d811de74d702399bb6b48500062a65feacc0c6cfbf,1,0xc443d4a1eb3a16de113ba289240581b49c40d30750c644067d56cf77caf34201,0xb48e714a519abf7d1de8fd07985c1b42bb7517447210b6bf08db85bf827e5805,0x3cab2ee1c4f6bdef57927e02083647a6563f6583859ea3108b0dbaf8dd9d9e21
bc1qsecure0113,0367b48d231b3e4238dfb76aa66c843172098373545f836af16f4b217ff76b78,0,0xb2e62e31a612a83303c1a6d558946f3311b5c0c8d5831ab2d0b81f8aa07d3d01,0x22bd39d8f7d262a35c9eaa716a90119a134472037ae5dba7ade91289d50fdab,0x722f7b7b18f26da09b8eddc996c8e905918fd62db7ffd830f00660a8eda97bd2
bc1qsecure0180,87ec67626bd84e50cda79fa0660c5924bfa6a9b68ecc4bfcf6c9d08c52e8dab7,2,0x43b074a3418abfef06e2d4dfd32505703b7dbbad6115edcdecdc70120846801,0xa7c7c21c009883e650695c66fa530ab7daa45001accf0045d93eb161d110e03,0x5365c65f4ac160bc79ebdb620fc819d0cbf5700781bbc08577de24508bbf27dd
bc1qsecure0046,4b7e1600c565b52c234b57fb915cc6e76456a5cc4780a598e73a45560c2a3039,0,0x95b6c148c25b72d8926df83b3e8ab7e2c4e218019c8c249bf49b0f12d2e8b69f,0x7b5f1c1c4aad9a50d30f0d1e2e3de475fc6e9f8cdbf5a8b18f0b5dd1be630fca,0x74a2acc1e66484cbc05e35386b0269f35fb4c5242ae79a2031dedd8e8b464f88
bc1qsecure0060,a4bbee68625370e13bcb78f92b031185808f22f58edeb3d2b0b39b3a72821e35,2,0xb65f62f0b02e5d1bdf72abf53f4cf48b7fc91f272bade1569dbcdf747199d508,0x7531f42df81f33513b847dc46536ed3b6018c7281f44f524506ea6ac5eabde9b,0xf5a5e197a938b571bb7e130ae973cce830221156114eac4823fd16c164c2c3
bc1qsecure0146,4fcf88288cf8d5703f3b32c35ad3ec0a838e01e30b8637a32b422510f9793f39,3,0x71171b0ecb41857f2dd58baab32d328aba01fcad628c8dc469f363ccab50bc43,0xa993c42af69f5043fc465c47a07107fe3f95fa77f06e53440c186d26fc6e738e,0xb942d98548b6ce23f0eaa03f7772f2ebc17b7c37c94f05ccec1444dfc125f5c2
bc1qsecure0140,1f743bbfe31b98fa7b843045125135df2f15d9e730bae2f3be5c94ca6108cc19,4,0x8edb670d228625a7f996ae79cfcb93cede8243eea451b862210316ae2613f4f1,0x26f26775ff811fed9c4c23b5c3b9134b897c93cb0d184e9e7138d526b1e74444,0x712e23a3b65d1dd280c66bed1548485e20aff3b4d5d13a468dc43f7175e79b65
bc1qsecure0055,9abf20ec8ec55e7bff875f16c164aabd4996b2f420b8e2e335cbf087c14a7ef5,3,0x58d346a0272d870fe772d6de7de2922e00226d26a7826861ae1e8c0c9f0874d7,0xe837476bcc5f731cd68928972918a5525079d83283856538e08e30044b0d02d1,0x4ef10de7e65f9c3d48b4a867591c2cc30d6824a449218ea539c79e7b5baec67e
bc1qsecure0101,b619f321b08b54c585bee9f1d079725eb3c3d6c9f102e18abdd63f28c1afd483,3,0x267a9d4bb240d55c1128a855757fcb7e90ccef88369bd943d324263b814701b7,0xab70b7e42c2fb60874f2a1cea6400dbc2c949a8fe737077396b1abff260fcdc,0x33f8db0500b678c848f398b5f0933a9488096a66936512c390848a6990f441a6
bc1qsecure0040,6756c6c64d742b4c4cfb89f6396dc0e585238920a1625077be8081414600fce6,1,0x891a80f89e6717adb177bf44d10600878e406749afee2ebbea3c138f6922c7fd,0x295f865c3fd92953a91b95480f10a1e96b018e9dc9f47d67fcc498f8dc5c6584,0xe35096e5a74d0223eacf38e36ddb271b7494080f11904dcb499bff9110040ae2
bc1qsecure0024,072420c8df964d5f25ab1980d6931a4827ec3169be52e33d3ca2c509915461aa,4,0x335e5fa6527d2005bc64151db4dfc03870eab270843d4e5904c9e56cbf77eae9,0x481e6905548f8fb50a9a0550e888cb00d8c27a3929b7ce183b8329fd9d597b06,0xf80b0ee2d1736b0495dd21b011a16d0fde1fe2859ca8eac1200643f8a9edff8c
bc1qsecure0116,65e749466396752382c66abf2e6dc39af42121a58b7ab49981f010111d196623,1,0xfc5fefbe15df37acb488011676e1241a9470b2917ca37deeefe7ee9b311c6102,0x7a8ec7c6a7569962c9f6c31b5de8c61ded6b93652fd6c17b0d4d52b92830d2b4,0x40c50fd4d8aabeb01c7c71125cb3325430b1ec6f6295c78c694ac214777093d3
bc1qsecure0196,71e7a93b5e3f11a8c61d0a589fdb090ce5032de28d4adcdb8a74b51d6a36ecd4,3,0x933a04baff8159c230421e4d79861de76593868c848991e0d0e7e937de700a20,0xe7eb798dbf9bc00094305c115c37e2fff0b1e5d8f077a51ee5f45774ed35de28,0xaf4e99cb0c066d872c1f2f013a74855025a56cce861f8ef2d36403d551ad166
bc1qsecure0114,28eb6296b0ddd909d1dac350185a9300676b5501be685d63efae122a5063afdf,4,0x8fe2e2453998c89aacc9c7e705765f6a54adc40161174ec4f73b628e105db118,0xe0b1bcce7e520948323f8ada6a8463ae9afffb1c8fb376664b3265de675febac,0x5387a41a743ee2b75f8969eb26adbb6d02482afb90de6725bb0caba2dfcd5ba5
bc1qsecure0122,908c96f42b35ad6d7106e001fcaa644e708b9c7187074f8851aae795b2832ea0,2,0xbcae3f69759678a5f36ce1c324adf7a82cefc3e2b601467628ead3313c0845da,0x8f6fafb034823b240d03f9bee1e4ed19c892b6d0f75f2aaf9dce6d0f4bd09f26,0x2f51ed567dc5f67c93085385e9e3950dbcefbc2f3077a1f2f243043f7db9e518
bc1qsecure0172,a4d5fd6ed8eced3948745265c691d8cd8e820c86287fe42520aa8811cb859022,1,0xb782394b3b97ac378dd2acb82ce225bdfa4ac0e27d0506542a28eafc63157497,0xd3c84ec9862aec85bc2176241de296178419dcb396cabf533da9d7af547880b7,0xdcdfd8eb8785d7e041fc650c26c10b1fec6e3729509ffbe2eb733e0e66072b9b
bc1qsecure0131,842128b80794bfad5bf6a7cdaaec4f7779a66f7b8ad3324feb9fb732538e5d9b,2,0xe54d20d57451a8fc276112101cefbef13d3856c8c5c3520e393d0a82fda7a5b0,0x84ea4a6fc5f62e472b05f1eea4fbab9118239eb36db6011376ff90a69a8c3f1f,0xd1c29bfb986f45f5f6c94557f6e219bf88706c85a345a6e74f6fd164c1e709e0
bc1qsecure0128,0fd90fc9c9e1cbcf05ebefe9b725b53d8c8292da598b3b377936d58c696fe8b5,3,0xb3a2468624d1bada43484ba33d832628df5b1d43c3c703ad9eb28a5003147fa,0x916f86d1d5e882a3e3870961d0773523e5576fa5780642f55ff75271c5e551f,0x2948bfc3703ed71be376da0a7acdc26eb4482d2e274f168cff710a8e08127bd6
bc1qsecure0072,6cb444741a85c4516f82bccc7ecc2b39d8f5522103e96f9a42f9ecdd24eb2893,2,0x34ad754c599788ec1c8df7e80a52ccc8e8d05dc16627fa41f098c5e99563516a,0xffd78b09bb1d7c48f193c50abbdb968f66712e546ad4186d46c7c58ea5d506f9,0x863a3b656de27c361263fee5cabe31ae29e40bcc2bb08c12c85d06eb2a3efa06
bc1qsecure0029,1b154fa5b0f6ae0754164464e4b9edd4e33bd7affb34355fb16ebd4ad2adae2a,1,0xb0494518863913d83a25b85d42c7cc8a0c6c80f6ba87f55cda186939cdbf9aec,0x95a51aa23ba7e2cf27f9d8810157fb5ccac7d853e9cd337a939eab075bef98f9,0xfb226b35a59e738ffe70ee4a73f1614cb281a95e358d02e85f3c0baddeb04da4
bc1qsecure0048,12819c01616807f5784a3df44fa147bcfb5606605d8e61b632ed5249fc7f27d3,3,0xc8dba4fac6cd2ec055d0ee6357123dac5f4c9c17520dbd934c8a16f72bf19bb4,0x2c7a2b55ba2428ea26637bc41a971ba3d3440c2e8e675f9f611b9b662fda6b20,0xaf7b21153658fb353a7b9d747e9265c0ccf13fbe6214aa1b54edb24df8cda2da
bc1qsecure0158,ae7f7bbffa17217584c0fb71f145933b9ec3b23e2b58b6d6113e67085b8e8b1c,2,0x52bd073d288ff6f3515b64a9d744099e94d1d0c6b6391b2224091527a2de1127,0x785edb61fda8fdac404707ca02b9b2a4bddf1a97e9823bd476774daf7e6cde1e,0x80f99052665ed3bbfe2e3eb2bcfab7485d8be2678fc0080d47ae633881805241
bc1qsecure0157,7bc071f324a8cfdef8eba871a19b77cf7e24e99734c3e663f00563e8b0c878ed,4,0x6898a73732b8552faaa153c1281c1d97b774f88afc679d5f012f7035924f090f,0xc4c4d62e0d1c0ebac0ace4c5685d87c660a897f554f2abcdc3660b89e2c48f9d,0x4b9fa5a2a76f2af915a3af771830a1d1450f8cbda0572922bf11d875d43fb1ad
bc1qsecure0163,587c934fd16cd5558908e81298268d313ac444b5cce4e4ec07b1b6a168e0806b,3,0x48880b035a49b16caf73c66c51ca95dc9b0af9c646552e955dd2ca5107161d79,0xecbedf9cc5ee52d62fe989b8d4dadc3af10a4a53ecb393238b5e306b5a5a1518,0xd49be8d2210404ecdcb4f0258a4363740d8742c60054d77148215d28cfcfac3f
bc1qsecure0080,86c06fc99e89827bddb5dbb22d4ffe9fa8d613650af0e4436b79ef584beedfa6,1,0x4fc8e8ca2226829434aea70731930595876f5bd479863f59b022b18c9c09c6b4,0xe89099e1605dac6091fd26db221d98511aba9e1fb9469a8f9154ea3cd14a355,0x51e38a85969886ae50a725d87fc6185e35a76126079ae58904cb6535645b5064
